Przód,Tył
"Co to 1NF?","Pierwsza forma normalna - wszystkie wartości w tabeli są atomowe (niepodzielne). Brak powtarzających się grup."
"Co to 2NF?","Druga forma normalna - 1NF + eliminacja zależności częściowych od klucza głównego."
"Co to 3NF?","Trzecia forma normalna - 2NF + eliminacja zależności przechodnich (gdy atrybut niebędący kluczem determinuje inny atrybut niebędący kluczem)."
"Co to BCNF?","Forma normalna Boyce'a-Codda - każda zależność funkcyjna X→Y, gdzie X jest superkluczem."
"Co oznacza ACID?","Atomicity (atomowość), Consistency (spójność), Isolation (izolacja), Durability (trwałość)"
"Co to atomowość (Atomicity)?","Transakcja wykonuje się w całości albo wcale. Brak częściowych wykonań."
"Co to spójność (Consistency)?","Transakcja przeprowadza bazę ze stanu spójnego do stanu spójnego. Wszystkie ograniczenia integralności są zachowane."
"Co to izolacja (Isolation)?","Współbieżne transakcje nie interferują ze sobą. Każda transakcja działa jak gdyby była jedyna."
"Co to trwałość (Durability)?","Zatwierdzone zmiany są trwałe i przetrwają awarie systemu."
"Jakie są 4 poziomy izolacji?","1. READ UNCOMMITTED, 2. READ COMMITTED, 3. REPEATABLE READ, 4. SERIALIZABLE"
"Co to dirty read?","Czytanie niezatwierdzonych zmian z innej transakcji."
"Co to non-repeatable read?","Różne wyniki tego samego zapytania w ramach jednej transakcji."
"Co to phantom read?","Pojawienie się nowych wierszy spełniających warunek między kolejnymi czytaniami."
"Co to deadlock?","Sytuacja, gdy dwie lub więcej transakcji czeka na siebie wzajemnie, tworząc cykl oczekiwania."
"Co to MVCC?","Multiversion Concurrency Control - mechanizm kontroli współbieżności przez zarządzanie wieloma wersjami danych."
"Co to klucz główny (Primary Key)?","Wybrany klucz kandydujący. Unikalny + NOT NULL. Maksymalnie jeden na tabelę."
"Co to klucz obcy (Foreign Key)?","Atrybut lub zbiór atrybutów odwołujący się do klucza głównego innej tabeli."
"Co to klucz kandydujący?","Minimalny zbiór atrybutów jednoznacznie identyfikujący każdy wiersz w tabeli."
"Co to superklucz?","Zbiór atrybutów zawierający klucz kandydujący (może mieć nadmiarowe atrybuty)."
"Co to integralność referencyjna?","Ograniczenie zapewniające, że wartości kluczy obcych istnieją w tabeli referencyjnej lub są NULL."
"Jak modelować relację 1:1?","Jedna tabela z FK lub łączenie tabel przez wspólny klucz."
"Jak modelować relację 1:N?","FK w tabeli reprezentującej 'wiele'."
"Jak modelować relację M:N?","Tabela łącząca z dwoma FK do odpowiednich tabel."
"Co to zależność funkcyjna?","X → Y oznacza, że wartość X jednoznacznie determinuje wartość Y."
"Co to zależność przechodnia?","X → Y ∧ Y → Z ⇒ X → Z, gdzie Y nie jest podzbiorem X ani X podzbiorem Y."
"Co to domknięcie X+?","Zbiór wszystkich atrybutów determinowanych przez X."
"Różnica COUNT(*) vs COUNT(kolumna)?","COUNT(*) liczy wszystkie wiersze, COUNT(kolumna) ignoruje NULL w tej kolumnie."
"Różnica HAVING vs WHERE?","WHERE filtruje wiersze przed GROUP BY, HAVING filtruje grupy po GROUP BY."
"Co zwraca WHERE column = NULL?","Zawsze FALSE! Użyj WHERE column IS NULL."
"Co to INNER JOIN?","Zwraca tylko wiersze mające pasujące wartości w obu tabelach."
"Co to LEFT JOIN?","Zwraca wszystkie wiersze z lewej tabeli plus pasujące z prawej."
"Co to FULL OUTER JOIN?","Zwraca wszystkie wiersze z obu tabel."
"Co to CROSS JOIN?","Zwraca iloczyn kartezjański - wszystkie kombinacje wierszy."
"Co to selekcja (σ) w algebrze relacji?","Operacja wybierająca wiersze spełniające określony warunek."
"Co to projekcja (π) w algebrze relacji?","Operacja wybierająca określone kolumny z relacji."
"Co to złączenie (⋈) w algebrze relacji?","Operacja łącząca dwie relacje na podstawie wspólnych atrybutów."
"Co to encja w modelu ER?","Rzecz, obiekt lub pojęcie o którym przechowujemy informacje."
"Co to atrybut w modelu ER?","Właściwość opisująca encję."
"Co to związek w modelu ER?","Powiązanie między encjami."
"Co to encja słaba?","Encja, której istnienie zależy od innej encji (silnej)."
"Co to atrybut złożony?","Atrybut składający się z mniejszych komponentów (np. adres = ulica + miasto)."
"Co to atrybut wielowartościowy?","Atrybut mogący mieć wiele wartości dla jednej encji (np. telefony)."
"Co to atrybut pochodny?","Atrybut, którego wartość można obliczyć z innych atrybutów (np. wiek z daty urodzenia)."
"Co to indeks?","Struktura danych przyspieszająca wyszukiwanie w tabeli."
"Co to B-tree indeks?","Domyślny typ indeksu. Dobry dla operacji równości i zakresów."
"Co to partial indeks?","Indeks z warunkiem WHERE, obejmujący tylko część wierszy."
"Co to composite indeks?","Indeks na więcej niż jednej kolumnie."
"Co to trigger?","Specjalny typ procedury automatycznie wykonywany w odpowiedzi na zdarzenia DML."
"Różnica BEFORE vs AFTER trigger?","BEFORE wykonywany przed operacją (może modyfikować dane), AFTER po operacji."
"Co to widok (view)?","Wirtualna tabela oparta na wyniku zapytania SQL."
"Co to zmaterializowany widok?","Widok, którego wynik jest fizycznie przechowywany i okresowo odświeżany."
"Co to NULL?","Specjalna wartość reprezentująca brak danych lub nieznaną wartość."
"Co to logika trójwartościowa?","System logiczny z trzema wartościami: TRUE, FALSE, NULL."
"Co robi COALESCE?","Zwraca pierwszy argument różny od NULL."
"Co robi NULLIF?","Zwraca NULL jeśli argumenty są równe."
"Co to funkcja agregująca?","Funkcja operująca na zbiorze wartości i zwracająca jedną wartość."
"Co to window function?","Funkcja wykonująca obliczenia na zbiorze wierszy powiązanych z bieżącym wierszem."
"Co to CTE?","Common Table Expression - zapytanie w klauzuli WITH."
"Co to recursive CTE?","CTE które odwołuje się do samego siebie, używane do przetwarzania hierarchii."
"Co to subquery?","Zapytanie zagnieżdżone wewnątrz innego zapytania."
"Różnica EXISTS vs IN?","EXISTS często szybsze dla dużych zbiorów i bezpieczniejsze z NULL."
"Co to DDL?","Data Definition Language - CREATE, ALTER, DROP."
"Co to DML?","Data Manipulation Language - SELECT, INSERT, UPDATE, DELETE."
"Co to DCL?","Data Control Language - GRANT, REVOKE."
"Co to TCL?","Transaction Control Language - BEGIN, COMMIT, ROLLBACK."
"Kolejność klauzul w SELECT?","SELECT, FROM, JOIN, WHERE, GROUP BY, HAVING, ORDER BY, LIMIT"
"Co to UPSERT?","Operacja INSERT OR UPDATE - wstawia jeśli nie ma, aktualizuje jeśli istnieje."
"Składnia UPSERT w PostgreSQL?","INSERT ... ON CONFLICT (kolumna) DO UPDATE SET ..."
"Co to constraint?","Ograniczenie zapewniające integralność danych (PRIMARY KEY, FOREIGN KEY, CHECK, etc.)."
"Co to CHECK constraint?","Ograniczenie sprawdzające warunek dla wartości w kolumnie."
"Co to UNIQUE constraint?","Ograniczenie zapewniające unikalność wartości (NULL dozwolone)."
"Co to NOT NULL constraint?","Ograniczenie zabraniające wartości NULL w kolumnie."
"Co to shared lock (S)?","Blokada dzielona. Pozwala na współbieżne czytanie, blokuje pisanie."
"Co to exclusive lock (X)?","Blokada wyłączna. Blokuje zarówno czytanie jak i pisanie przez inne transakcje."
"Co to savepoint?","Punkt w transakcji, do którego można wycofać się bez anulowania całej transakcji."
"Co to 4NF?","Czwarta forma normalna - BCNF + eliminacja wielowartościowych zależności funkcyjnych."
"Co to 5NF?","Piąta forma normalna - 4NF + eliminacja zależności złączeniowych."
"Co to wielowartościowa zależność (MVD)?","X →→ Y oznacza, że wartości Y są niezależne od innych atrybutów przy stałym X."
"Co to normalizacja?","Proces organizacji danych w bazie w celu zmniejszenia redundancji i poprawy integralności."
"Co to denormalizacja?","Celowe wprowadzenie redundancji dla poprawy wydajności."
"Co to transakcja?","Logiczna jednostka pracy składająca się z jednej lub więcej operacji na bazie danych."
"Co to plan wykonania?","Opis kroków, które system bazy danych wykona dla danego zapytania."
"Komenda dla planu wykonania?","EXPLAIN ANALYZE SELECT ..."
"Co to optymalizator zapytań?","Komponent DBMS wybierający najbardziej efektywny sposób wykonania zapytania."
"Co to kardinalność?","Liczba unikalnych wartości w kolumnie lub liczba wierszy w relacji."
"Co to kardinalność związku?","Określenie ile rekordów jednej tabeli może być powiązanych z rekordami drugiej."
"Co to SQL injection?","Atak polegający na wstrzyknięciu złośliwego kodu SQL przez dane wejściowe."
"Jak zapobiegać SQL injection?","Używać parametryzowanych zapytań (prepared statements)."
"Co to backup?","Kopia zapasowa danych umożliwiająca przywrócenie po awarii."
"Co to recovery?","Proces przywracania bazy danych do spójnego stanu po awarii."
"Co to PITR?","Point-in-Time Recovery - przywracanie bazy do określonego momentu w czasie."
"Co to replikacja?","Proces kopiowania danych między wieloma serwerami baz danych."
"Co to sharding?","Podział danych na wiele serwerów według określonych kryteriów."
"Co to partycjonowanie?","Podział dużej tabeli na mniejsze części dla lepszej wydajności."
"Co to horizontal partitioning?","Podział tabeli na wiersze (różne wiersze w różnych partycjach)."
"Co to vertical partitioning?","Podział tabeli na kolumny (różne kolumny w różnych tabelach)."
"Co to stored procedure?","Procedura składowana - precompilowany kod wykonywany w bazie danych."
"Co to funkcja użytkownika?","Wielorazowego użytku blok kodu implementujący logikę biznesową."
"Co to rule w PostgreSQL?","System przepisywania zapytań na poziomie parsera."
"Różnica trigger vs rule?","Trigger wykonuje funkcje podczas operacji, rule przepisuje zapytania przed wykonaniem."
"Co to VACUUM w PostgreSQL?","Proces czyszczenia nieużywanych wersji rekordów i optymalizacji przestrzeni."
"Co to ANALYZE w PostgreSQL?","Proces zbierania statystyk o danych dla optymalizatora zapytań."
"Co to connection pooling?","Mechanizm zarządzania połączeniami z bazą danych dla lepszej wydajności."
"Co to OLTP?","Online Transaction Processing - systemy transakcyjne do bieżących operacji."
"Co to OLAP?","Online Analytical Processing - systemy analityczne do raportowania i analizy."
"Co to data warehouse?","Scentralizowane repozytorium danych z różnych źródeł do analiz."
"Co to ETL?","Extract, Transform, Load - proces pobierania, transformacji i ładowania danych."
"Co to referential cascade?","Automatyczne propagowanie zmian na powiązane rekordy (CASCADE DELETE/UPDATE)."
"Co oznacza ON DELETE CASCADE?","Usunięcie rekordu rodzica automatycznie usuwa powiązane rekordy dzieci."
"Co oznacza ON UPDATE CASCADE?","Zmiana klucza głównego automatycznie aktualizuje powiązane klucze obce."
"Co to isolation level SERIALIZABLE?","Najwyższy poziom izolacji eliminujący wszystkie anomalie transakcji."
"Domyślny isolation level w PostgreSQL?","READ COMMITTED"
"Co to autocommit?","Automatyczne zatwierdzanie każdej operacji jako osobnej transakcji."
"Co to connection timeout?","Czas po którym połączenie z bazą danych zostaje przerwane z powodu braku aktywności."
"Co to query timeout?","Maksymalny czas wykonywania zapytania przed jego anulowaniem."
"Co to database schema?","Logiczna struktura bazy danych definiująca tabele, relacje i ograniczenia."
"Co to namespace w bazie danych?","Przestrzeń nazw grupująca obiekty bazy danych (schematy w PostgreSQL)."
"Co to database catalog?","Metadata opisujące strukturę bazy danych (tabele systemowe)."
"Co to information_schema?","Standardowy zbiór widoków z metadanymi o strukturze bazy danych."
"Co to pg_catalog?","PostgreSQL-specific catalog z metadanymi systemu."
"Co to tablespace?","Logiczne grupowanie fizycznych plików przechowujących dane tabel i indeksów."
"Co to clustered table?","Tabela fizycznie uporządkowana według określonego indeksu."
"Co to heap table?","Tabela bez określonego porządku fizycznego rekordów."
"Co to sequence?","Generator unikalnych wartości liczbowych (często dla PRIMARY KEY)."
"Składnia tworzenia sequence?","CREATE SEQUENCE nazwa START 1 INCREMENT 1;"
"Jak pobrać następną wartość sequence?","SELECT nextval('nazwa_sequence');"
"Co to domain w PostgreSQL?","Własny typ danych z ograniczeniami (CHECK constraints)."
"Co to enum w PostgreSQL?","Typ wyliczeniowy z określonym zbiorem wartości."
"Co to array w PostgreSQL?","Typ danych przechowujący tablicę wartości."
"Co to JSONB w PostgreSQL?","Binarny format JSON z indeksowaniem i zaawansowanymi operacjami."
"Co to GIN index?","Generalized Inverted Index - dla złożonych typów danych jak arrays, JSONB."
"Co to GiST index?","Generalized Search Tree - dla geometrii, full-text search."
"Co to BRIN index?","Block Range Index - dla bardzo dużych tabel z danymi chronologicznymi."
"Co to expression index?","Indeks na wyrażeniu/funkcji zamiast bezpośrednio na kolumnie."
"Co to covering index?","Indeks zawierający wszystkie kolumny potrzebne do zapytania."
"Co to index scan?","Przeszukiwanie danych używając indeksu."
"Co to sequential scan?","Przeszukiwanie całej tabeli wiersz po wierszu."
"Co to bitmap scan?","Kombinacja index scan + sequential scan dla lepszej wydajności."
"Co to cost w planie wykonania?","Szacowany koszt wykonania operacji (jednostki relative)."
"Co to cardinality estimate?","Szacowana liczba wierszy zwracanych przez operację."
"Co to selectivity?","Stosunek wierszy spełniających warunek do wszystkich wierszy."
"Co to statistics w PostgreSQL?","Informacje o rozkładzie danych używane przez optymalizator."
"Co to histogram w statystykach?","Rozkład wartości w kolumnie dla optymalizatora zapytań."
"Co to most common values (MCV)?","Najczęstsze wartości w kolumnie z ich częstotliwościami."